Feature,Importance
accx_mean,0.17779967
accx_entropy,0.097062856
accx_spectral_energy,0.06443606
accy_scd,0.04602152
accy_p50,0.04490361
accy_spectral_energy,0.03311903
accz_spectral_energy,0.033050086
accy_range,0.030076856
accz_entropy,0.029728308
accy_mean,0.028520206
accx_skewness,0.028077548
accz_p25,0.0249754
accx_iqr,0.023097198
accz_min,0.022075143
accy_entropy,0.01937475
accz_scd,0.019312866
accx_kurtosis,0.018818552
accz_kurtosis,0.018622503
accz_range,0.018272778
accy_variance,0.018051244
accy_p25,0.017583678
accy_max,0.017246928
accx_range,0.016936887
accy_iqr,0.016700141
accy_min,0.016236112
accy_std,0.014433107
accz_iqr,0.01411042
accx_std,0.013847151
accy_skewness,0.013679789
accz_std,0.0134224575
accz_skewness,0.0128025655
accy_p75,0.010498038
accy_kurtosis,0.0097406255
accx_variance,0.009187357
accz_p50,0.008178558
accx_zcr,0.0
accx_p75,0.0
accx_scd,0.0
accx_min,0.0
accx_rms,0.0
accx_max,0.0
accx_p25,0.0
accx_p50,0.0
accz_mean,0.0
accy_zcr,0.0
accy_rms,0.0
accz_variance,0.0
accz_rms,0.0
accz_max,0.0
accz_p75,0.0
accz_zcr,0.0
